* Measurement data measured by REW V5.30.9
* Source: Microphone (Qudelix-5K USB DAC/MIC 44.1KHz), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jun 20, 2024 2:18:04 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R Jun 20
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
80.000000	64.878	153.4308
81.199997	64.815	153.1016
82.500000	64.752	152.6203
83.800003	64.695	152.1178
85.000000	64.653	151.8866
86.199997	64.604	151.7062
87.500000	64.502	151.5091
88.500000	64.443	151.4168
90.000000	64.315	151.0172
91.199997	64.243	150.4693
92.500000	64.209	150.1576
93.800003	64.165	150.1368
95.000000	64.086	150.3639
96.199997	64.030	150.3277
97.500000	63.920	150.1017
98.800003	63.918	149.7811
100.000000	63.961	149.5213
101.500000	63.958	149.7513
103.000000	63.792	149.2566
104.400002	63.776	148.2023
106.000000	63.753	148.5321
107.500000	63.628	148.2920
109.000000	63.604	147.5877
110.599998	63.564	147.4941
112.000000	63.443	147.2213
113.800003	63.412	146.8131
115.000000	63.345	146.8134
117.199997	63.245	146.4164
118.000000	63.220	146.5375
120.599998	63.103	145.9973
122.000000	63.052	145.8765
124.099998	62.978	145.6224
125.000000	62.939	145.5175
126.500000	62.886	145.5034
128.000000	62.832	145.2947
131.500000	62.705	145.0613
132.000000	62.692	144.9731
134.000000	62.606	144.6993
136.000000	62.531	144.6888
138.000000	62.472	144.3876
140.000000	62.399	144.2967
143.000000	62.286	144.1127
145.000000	62.235	143.9755
147.500000	62.148	143.9224
150.000000	62.068	142.6552
152.500000	62.049	143.5803
155.000000	61.993	143.4124
157.500000	61.962	143.3692
160.000000	61.924	143.2990
162.500000	61.808	143.3370
165.000000	61.663	143.2216
167.500000	61.534	143.0223
170.000000	61.386	142.9874
172.500000	61.248	142.9915
175.000000	61.155	143.0450
177.500000	61.088	143.0587
180.000000	61.049	143.1883
182.500000	60.956	143.3130
185.000000	60.919	143.5388
187.500000	60.846	143.8699
190.000000	60.759	144.3712
192.500000	60.675	145.0534
195.000000	60.596	146.0591
197.500000	60.583	146.8699
200.000000	60.682	147.5543
203.000000	60.857	148.4927
206.000000	61.051	148.6165
209.000000	61.166	147.6469
212.000000	61.207	146.6153
214.000000	61.187	146.0414
218.000000	61.081	145.4904
220.000000	61.026	145.4863
224.000000	61.042	145.2068
227.000000	61.020	144.7978
230.000000	60.955	144.1800
233.000000	60.903	144.0298
236.000000	60.837	143.7129
240.000000	60.748	143.5686
243.000000	60.681	143.4115
247.000000	60.597	143.3325
250.000000	60.611	144.0287
254.000000	60.480	143.2989
258.000000	60.417	143.2444
262.000000	60.379	143.5472
265.000000	60.331	143.3283
269.000000	60.300	143.4616
272.000000	60.296	143.4991
276.000000	60.259	143.3534
280.000000	60.199	143.4921
285.000000	60.132	143.2014
290.000000	60.081	143.2463
295.000000	60.018	143.2177
300.000000	59.930	143.6492
304.000000	59.893	143.8248
307.000000	59.865	143.9543
311.000000	59.846	144.0865
315.000000	59.842	144.3230
320.000000	59.871	144.4493
325.000000	59.864	144.2526
330.000000	59.842	144.2348
335.000000	59.787	144.0355
340.000000	59.754	143.9677
345.000000	59.685	144.0877
350.000000	59.628	143.7743
355.000000	59.642	143.6946
360.000000	59.649	143.6704
365.000000	59.575	144.0536
370.000000	59.525	144.0023
375.000000	59.473	143.9969
382.000000	59.441	144.1638
387.000000	59.460	143.8363
395.000000	59.333	144.2269
400.000000	59.299	144.2746
406.000000	59.276	144.5159
412.000000	59.242	144.7844
418.000000	59.210	145.0333
425.000000	59.166	145.3878
431.000000	59.178	145.3068
437.000000	59.186	146.2891
444.000000	59.223	146.6750
450.000000	59.345	146.5519
455.000000	59.294	146.4918
462.000000	59.321	146.4853
468.000000	59.366	146.2965
475.000000	59.340	145.8916
482.000000	59.312	145.9810
487.000000	59.302	145.9584
494.000000	59.297	146.1532
500.000000	59.262	146.0505
508.000000	59.270	146.1171
515.000000	59.262	146.0411
522.000000	59.241	146.3129
530.000000	59.207	146.2765
538.000000	59.226	146.1721
545.000000	59.253	146.5067
552.000000	59.181	146.5701
560.000000	59.178	146.7598
570.000000	59.184	146.7441
580.000000	59.157	146.9066
590.000000	59.165	146.7922
600.000000	59.190	147.0285
608.000000	59.191	147.2662
615.000000	59.187	147.5269
622.000000	59.178	147.6722
630.000000	59.192	147.7067
640.000000	59.226	147.5815
650.000000	59.215	148.3102
660.000000	59.218	148.2490
670.000000	59.248	148.5154
680.000000	59.267	148.5224
690.000000	59.172	148.1612
700.000000	59.277	148.5211
710.000000	59.325	149.2858
720.000000	59.314	149.4460
730.000000	59.351	149.6399
740.000000	59.361	150.0994
750.000000	59.388	150.2355
762.000000	59.468	150.3625
775.000000	59.492	150.5719
788.000000	59.545	150.9302
800.000000	59.600	151.2430
812.000000	59.651	151.5565
825.000000	59.716	151.6375
838.000000	59.792	152.0377
850.000000	59.835	151.8174
862.000000	59.968	152.3647
875.000000	60.009	152.4613
885.000000	60.063	152.8271
900.000000	60.113	152.9404
912.000000	60.200	153.1891
925.000000	60.287	153.1680
938.000000	60.349	153.5376
950.000000	60.469	153.8313
962.000000	60.539	153.5181
975.000000	60.597	153.6490
988.000000	60.674	153.6985
1000.000000	60.721	153.6295
1015.000000	60.810	153.7016
1030.000000	60.907	153.8780
1044.000000	60.989	153.9886
1060.000000	61.080	154.1747
1075.000000	61.196	154.2103
1090.000000	61.326	154.3126
1106.000000	61.408	154.5575
1120.000000	61.509	154.1101
1138.000000	61.708	153.9594
1150.000000	61.824	154.1551
1172.000000	61.972	153.2507
1180.000000	61.991	153.0791
1206.000000	62.197	152.5978
1220.000000	62.314	152.2296
1241.000000	62.456	151.5627
1250.000000	62.505	150.9716
1265.000000	62.588	151.2471
1280.000000	62.687	150.2917
1315.000000	62.919	149.5446
1320.000000	62.934	149.0886
1340.000000	63.007	148.3346
1360.000000	63.112	147.8539
1380.000000	63.205	147.6144
1400.000000	63.316	146.4449
1430.000000	63.492	145.3483
1450.000000	63.515	144.5436
1475.000000	63.629	143.9144
1500.000000	63.709	143.0400
1525.000000	63.817	142.2821
1550.000000	63.865	141.6134
1575.000000	64.009	140.5650
1600.000000	64.055	139.8840
1625.000000	64.141	139.4088
1650.000000	64.245	138.4652
1675.000000	64.310	138.0801
1700.000000	64.419	137.0803
1725.000000	64.442	136.7732
1750.000000	64.567	135.6446
1775.000000	64.635	134.7629
1800.000000	64.724	134.3397
1825.000000	64.774	133.8029
1850.000000	64.863	132.8061
1875.000000	64.960	132.2753
1900.000000	64.993	131.2212
1925.000000	65.098	130.3847
1950.000000	65.116	129.7673
1975.000000	65.195	129.0678
2000.000000	65.251	128.1982
2030.000000	65.314	127.3074
2060.000000	65.389	126.4006
2090.000000	65.473	125.3626
2120.000000	65.535	124.3195
2140.000000	65.554	123.7528
2180.000000	65.615	122.5154
2200.000000	65.677	121.8730
2240.000000	65.726	120.6418
2270.000000	65.768	119.7309
2300.000000	65.814	118.6500
2330.000000	65.830	117.6538
2360.000000	65.852	116.8053
2400.000000	65.874	115.5829
2430.000000	65.906	114.4990
2470.000000	65.907	113.1551
2500.000000	65.920	112.1492
2540.000000	65.884	110.8674
2580.000000	65.912	109.2191
2620.000000	65.861	108.4418
2650.000000	65.850	107.5075
2690.000000	65.805	106.2756
2720.000000	65.782	105.5678
2760.000000	65.684	104.2946
2800.000000	65.663	103.1758
2850.000000	65.568	101.7624
2900.000000	65.465	100.4835
2950.000000	65.392	99.2083
3000.000000	65.275	98.4232
3040.000000	65.218	97.5670
3070.000000	65.095	96.8865
3110.000000	64.998	96.0964
3150.000000	64.898	95.5504
3200.000000	64.765	94.7191
3250.000000	64.636	94.0543
3300.000000	64.494	93.4098
3350.000000	64.359	92.8922
3400.000000	64.225	92.3192
3450.000000	64.060	91.8628
3500.000000	63.886	91.6162
3550.000000	63.619	91.3788
3600.000000	63.450	91.2708
3650.000000	63.442	92.0706
3700.000000	63.315	91.7203
3750.000000	63.210	92.1550
3820.000000	63.093	92.8027
3870.000000	63.056	93.1588
3950.000000	62.922	93.7376
4000.000000	62.821	93.4464
4060.000000	62.709	93.2680
4120.000000	62.606	94.0958
4180.000000	62.433	94.3329
4250.000000	62.233	94.9727
4310.000000	62.095	95.1091
4370.000000	61.958	95.5231
4440.000000	61.683	96.7628
4500.000000	61.572	97.7349
4550.000000	61.538	98.5688
4620.000000	61.350	99.6738
4680.000000	61.293	100.2971
4750.000000	61.206	100.9985
4820.000000	61.063	102.9818
4870.000000	61.049	103.3428
4940.000000	60.925	105.1896
5000.000000	60.787	106.0616
5080.000000	60.739	107.5176
5150.000000	60.675	108.9872
5220.000000	60.667	110.4618
5300.000000	60.485	112.2375
5380.000000	60.477	114.2340
5450.000000	60.467	115.4404
5520.000000	60.435	116.8926
5600.000000	60.463	118.6027
5700.000000	60.457	120.5128
5800.000000	60.483	122.4850
5900.000000	60.312	125.7637
6000.000000	60.523	127.6602
6080.000000	60.516	128.5505
6150.000000	60.690	130.3319
6220.000000	60.722	131.0148
6300.000000	60.761	132.8314
6400.000000	60.833	134.4826
6500.000000	60.901	136.3734
6600.000000	61.048	137.5637
6700.000000	61.171	139.8801
6800.000000	61.362	141.6165
6900.000000	61.429	143.9941
7000.000000	61.608	144.9689
7100.000000	61.763	146.8481
7200.000000	61.742	148.4377
7300.000000	62.074	149.8204
7400.000000	62.309	151.6611
7500.000000	62.560	152.7728
7620.000000	62.872	154.1657
7750.000000	63.235	156.2148
7880.000000	63.872	156.3514
8000.000000	64.303	156.9310
8120.000000	64.699	158.0423
8250.000000	65.027	157.1404
8380.000000	65.370	156.5902
8500.000000	65.551	156.1373
8620.000000	65.813	155.2870
8750.000000	65.974	154.0223
8850.000000	65.985	153.5049
9000.000000	66.049	151.9965
9120.000000	65.905	150.4042
9250.000000	65.780	149.2401
9380.000000	65.474	148.3603
9500.000000	65.120	148.5748
9620.000000	64.892	147.8881
9750.000000	64.459	147.7017
9880.000000	64.033	148.5080
10000.000000	63.636	148.9195
10150.000000	63.159	150.3592
10300.000000	62.673	152.2242
10440.000000	62.255	154.1883
10600.000000	61.783	157.5356
10750.000000	61.271	160.7166
10900.000000	60.872	162.6737
11060.000000	60.564	166.7435
11200.000000	60.146	169.8915
11380.000000	59.770	173.8817
11500.000000	59.523	176.8910
11720.000000	58.950	-177.5068
11800.000000	59.035	-174.8186
12060.000000	58.740	-167.7088
12200.000000	58.538	-163.6127
12410.000000	58.118	-155.3511
12500.000000	58.311	-155.7131
12650.000000	58.358	-151.1163
12800.000000	58.379	-147.2838
13150.000000	58.545	-139.2254
13200.000000	58.367	-137.4452
13400.000000	58.751	-132.2635
13600.000000	59.131	-128.1089
13800.000000	59.434	-124.1769
14000.000000	60.099	-120.4542
14300.000000	60.910	-118.6163
14500.000000	61.724	-118.1948
14750.000000	62.691	-121.2090
15000.000000	63.380	-128.8687
15250.000000	63.361	-139.7151
15500.000000	62.208	-150.9008
15750.000000	60.135	-158.5955
16000.000000	57.670	-161.8364
16250.000000	55.599	-161.5759
16500.000000	53.864	-160.6932
16750.000000	51.985	-155.5955
17000.000000	51.114	-152.7597
17250.000000	49.839	-149.8922
17500.000000	48.434	-144.4071
17750.000000	47.373	-141.8212
18000.000000	45.978	-134.9336
18250.000000	44.063	-130.5562
18500.000000	43.018	-127.0928
18750.000000	42.019	-125.5358
19000.000000	38.857	-124.9705
19250.000000	38.908	-116.9426
19500.000000	36.073	-111.2414
19750.000000	36.614	-95.9798
