* Measurement data measured by REW V5.30.9
* Source: Microphone (Qudelix-5K USB DAC/MIC 44.1KHz), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jun 20, 2024 2:18:54 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L Jun 20
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
1030.000000	61.209	135.3349
1044.000000	61.266	135.3339
1060.000000	61.364	135.4345
1075.000000	61.478	135.3929
1090.000000	61.575	135.4105
1106.000000	61.706	135.4175
1120.000000	61.762	135.0797
1138.000000	61.969	134.4737
1150.000000	62.104	133.8948
1172.000000	62.258	133.4285
1180.000000	62.305	133.2499
1206.000000	62.493	132.3912
1220.000000	62.601	131.7497
1241.000000	62.726	130.8837
1250.000000	62.812	130.6594
1265.000000	62.855	130.0947
1280.000000	62.997	129.0732
1315.000000	63.184	127.1894
1320.000000	63.239	127.2682
1340.000000	63.353	126.3188
1360.000000	63.457	125.3424
1380.000000	63.634	124.7325
1400.000000	63.670	123.4158
1430.000000	63.852	122.3180
1450.000000	63.880	121.2275
1475.000000	64.030	119.9383
1500.000000	64.141	118.8483
1525.000000	64.265	117.6321
1550.000000	64.366	116.3623
1575.000000	64.441	115.3229
1600.000000	64.571	113.9594
1625.000000	64.661	112.7790
1650.000000	64.782	111.5544
1675.000000	64.836	110.5389
1700.000000	64.971	109.3071
1725.000000	65.069	107.7137
1750.000000	65.157	107.0310
1775.000000	65.235	105.6552
1800.000000	65.326	104.7592
1825.000000	65.408	103.7098
1850.000000	65.506	102.4745
1875.000000	65.566	101.3681
1900.000000	65.684	100.0225
1925.000000	65.745	98.7025
1950.000000	65.851	97.8317
1975.000000	65.920	96.5581
2000.000000	66.009	95.3925
2030.000000	66.092	93.8073
2060.000000	66.188	92.5396
2090.000000	66.233	90.9285
2120.000000	66.329	89.4729
2140.000000	66.398	88.5173
2180.000000	66.493	86.4761
2200.000000	66.546	85.4636
2240.000000	66.613	83.4256
2270.000000	66.650	81.5696
2300.000000	66.706	80.2525
2330.000000	66.741	78.7488
2360.000000	66.774	76.9906
2400.000000	66.817	74.9625
2430.000000	66.815	73.2306
2470.000000	66.847	71.1217
2500.000000	66.812	69.7588
2540.000000	66.841	67.6775
2580.000000	66.766	65.8423
2620.000000	66.785	63.7897
2650.000000	66.765	62.3645
2690.000000	66.730	60.4353
2720.000000	66.700	59.0268
2760.000000	66.592	57.3571
2800.000000	66.544	55.4716
2850.000000	66.429	53.6008
2900.000000	66.316	51.6785
2950.000000	66.184	49.5282
3000.000000	66.044	48.0844
3040.000000	65.977	46.6465
3070.000000	65.861	45.6805
3110.000000	65.717	44.3992
3150.000000	65.611	43.4894
3200.000000	65.458	42.2172
3250.000000	65.320	40.8920
3300.000000	65.135	39.8383
3350.000000	65.022	38.7994
3400.000000	64.841	37.6740
3450.000000	64.639	36.9227
3500.000000	64.522	35.6730
3550.000000	64.483	34.5982
3600.000000	64.200	34.7098
3650.000000	64.066	33.7164
3700.000000	64.055	33.2128
3750.000000	63.997	32.6639
3820.000000	63.898	31.4405
3870.000000	63.830	30.9636
3950.000000	63.723	29.8529
4000.000000	63.614	29.4642
4060.000000	63.571	27.9785
4120.000000	63.328	27.5436
4180.000000	63.192	27.0684
4250.000000	63.045	26.5139
4310.000000	62.944	25.9158
4370.000000	62.830	25.5911
4440.000000	62.532	24.5996
4500.000000	62.499	24.5314
4550.000000	62.422	24.6011
4620.000000	62.296	24.7228
4680.000000	62.209	24.4487
4750.000000	62.074	24.9488
4820.000000	62.030	24.3314
4870.000000	61.956	24.0460
4940.000000	61.916	24.1876
5000.000000	61.846	24.2874
5080.000000	61.741	24.8372
5150.000000	61.652	24.6337
5220.000000	61.625	24.7476
5300.000000	61.547	25.2759
5380.000000	61.526	25.2592
5450.000000	61.484	25.9078
5520.000000	61.514	26.1708
5600.000000	61.469	26.6335
5700.000000	61.529	26.9589
5800.000000	61.506	28.0638
5900.000000	61.411	28.3529
6000.000000	61.723	29.3035
6080.000000	61.622	29.0900
6150.000000	61.823	29.4821
6220.000000	61.810	29.8909
6300.000000	61.894	30.3997
6400.000000	61.965	30.5073
6500.000000	62.168	31.3257
6600.000000	62.215	31.6895
6700.000000	62.385	32.2551
6800.000000	62.582	32.8794
6900.000000	62.737	32.3906
7000.000000	62.927	33.0077
7100.000000	63.101	32.8690
7200.000000	63.289	34.2282
7300.000000	63.549	32.9627
7400.000000	63.753	32.6024
7500.000000	63.988	32.1938
7620.000000	64.313	31.2818
7750.000000	64.667	30.0451
7880.000000	65.078	28.3536
8000.000000	65.463	26.3448
8120.000000	65.561	25.0706
8250.000000	65.919	22.1855
8380.000000	65.964	19.3763
8500.000000	66.170	17.4995
8620.000000	66.127	15.4856
8750.000000	66.142	12.8730
8850.000000	66.183	11.1832
9000.000000	66.201	8.1606
9120.000000	66.091	6.0069
9250.000000	65.998	3.8162
9380.000000	65.875	1.4492
9500.000000	65.701	-0.0165
9620.000000	65.583	-2.0719
9750.000000	65.401	-4.1064
9880.000000	65.114	-5.7099
10000.000000	64.927	-7.6169
10150.000000	64.626	-8.8669
10300.000000	64.249	-10.4617
10440.000000	63.998	-11.4457
10600.000000	63.474	-12.0031
10750.000000	63.031	-12.9796
10900.000000	62.829	-13.9279
11060.000000	62.388	-14.2239
11200.000000	62.119	-13.8799
11380.000000	61.644	-12.5361
11500.000000	61.418	-12.2758
11720.000000	60.765	-10.6856
11800.000000	60.800	-10.2331
12060.000000	60.293	-8.3811
12200.000000	60.161	-7.4161
12410.000000	59.769	-7.5822
12500.000000	59.834	-4.3506
12650.000000	59.709	-2.7610
12800.000000	59.596	-0.7153
13150.000000	59.763	1.6697
13200.000000	59.709	4.4973
13400.000000	59.971	5.2787
13600.000000	60.089	6.4818
13800.000000	60.514	8.6978
14000.000000	60.971	8.1093
14300.000000	61.890	5.3858
14500.000000	62.646	0.3185
14750.000000	63.328	-8.7515
15000.000000	63.373	-20.9202
15250.000000	62.497	-34.2632
15500.000000	60.846	-42.4426
15750.000000	58.344	-49.6964
16000.000000	55.958	-52.0037
16250.000000	54.275	-51.6010
16500.000000	52.428	-50.3902
16750.000000	50.796	-44.7205
17000.000000	50.150	-46.2679
17250.000000	48.913	-44.4174
17500.000000	47.759	-42.9210
17750.000000	46.619	-35.5890
18000.000000	46.262	-40.5525
18250.000000	44.629	-34.8048
18500.000000	43.667	-35.1856
18750.000000	43.324	-35.7201
19000.000000	40.330	-35.0087
19250.000000	41.542	-36.5715
19500.000000	36.814	-42.2161
19750.000000	36.281	-42.7662
