* Measurement data measured by REW V5.20
* Source: Trace Arithmetic result A / B
* Format: Trace Arithmetic result A / B
* Dated: Aug 26, 2024 9:42:33 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Trace Arithmetic A over B A = Super 22 Target B = Uploaded IEF Comp Tar
* Measurement: A over B
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
690.000000	100.587906	0
700.000000	100.565712	0
710.000000	100.542931	0
720.000000	100.519569	0
730.000000	100.495636	0
740.000000	100.471176	0
750.000000	100.446228	0
762.000000	100.415840	0
775.000000	100.382545	0
788.000000	100.349319	0
800.000000	100.318993	0
812.000000	100.289268	0
825.000000	100.258057	0
838.000000	100.228073	0
850.000000	100.201752	0
862.000000	100.177086	0
875.000000	100.152634	0
885.000000	100.136024	0
900.000000	100.115532	0
912.000000	100.103928	0
925.000000	100.097343	0
938.000000	100.097855	0
950.000000	100.105446	0
962.000000	100.120590	0
975.000000	100.146172	0
988.000000	100.181717	0
1000.000000	100.223824	0
1015.000000	100.288544	0
1030.000000	100.366257	0
1044.000000	100.449707	0
1060.000000	100.555840	0
1075.000000	100.664421	0
1090.000000	100.779999	0
1106.000000	100.909172	0
1120.000000	101.026443	0
1138.000000	101.181160	0
1150.000000	101.286934	0
1172.000000	101.483849	0
1180.000000	101.556778	0
1206.000000	101.795456	0
1220.000000	101.924866	0
1241.000000	102.119019	0
1250.000000	102.201927	0
1265.000000	102.339424	0
1280.000000	102.475632	0
1315.000000	102.786224	0
1320.000000	102.829720	0
1340.000000	103.000084	0
1360.000000	103.165520	0
1380.000000	103.325569	0
1400.000000	103.479851	0
1430.000000	103.701057	0
1450.000000	103.842255	0
1475.000000	104.011810	0
1500.000000	104.174492	0
1525.000000	104.330292	0
1550.000000	104.480690	0
1575.000000	104.626572	0
1600.000000	104.768692	0
1625.000000	104.907730	0
1650.000000	105.044273	0
1675.000000	105.178543	0
1700.000000	105.310768	0
1725.000000	105.441071	0
1750.000000	105.569557	0
1775.000000	105.696266	0
1800.000000	105.821220	0
1825.000000	105.944420	0
1850.000000	106.065781	0
1875.000000	106.185173	0
1900.000000	106.302444	0
1925.000000	106.417473	0
1950.000000	106.530182	0
1975.000000	106.640572	0
2000.000000	106.748558	0
2030.000000	106.875298	0
2060.000000	106.999016	0
2090.000000	107.119827	0
2120.000000	107.237762	0
2140.000000	107.314575	0
2180.000000	107.464539	0
2200.000000	107.537094	0
2240.000000	107.677933	0
2270.000000	107.779480	0
2300.000000	107.877350	0
2330.000000	107.971695	0
2360.000000	108.062401	0
2400.000000	108.178001	0
2430.000000	108.260658	0
2470.000000	108.365234	0
2500.000000	108.439468	0
2540.000000	108.532303	0
2580.000000	108.618172	0
2620.000000	108.696632	0
